Instruction;Arg1;Arg2;Arg3;Arg4;Op1;Op2;Op3;Op4;Legacy;REX/VEX;Opcode;ModR/M;Disp;Imm;64-bits Mode;Legacy Mode;Special;Grammar;AT&T;Family;Annotate;Description;Notes;
ENTER;imm16;imm8=0;;;imm16;Offset;;;;;C8;;cw;0;Valid;Valid;8086;R;ENTER;ENTER;NA;Create a stack frame for a procedure.;;
EXTRACTPS;imm8;xmm;m32/r32;;imm8;ModRM:reg (r);ModRM:r/m (w);;66;REX.W0;0F 3A 17;/r;;ib;Valid;Valid;SSE4_1;;EXTRACTPS;EXTRACTPS;NA;Extract a single-precision floating-point value from xmm2 at the source offset specified by imm8 and store the result to reg or m32. The upper 32 bits of r64 is zeroed if reg is r64.;;
F2XM1;;;;;;;;;;;D9 F0;;;;Valid;Valid;8086;;F2XM1;F2XM1;NA;Replace ST(0) with (2ST(0) – 1).;;
FABS;;;;;;;;;;;D9 E1;;;;Valid;Valid;8086;;FABS;FABS;NA;Replace ST with its absolute value.;;
FADD;m32fp;;;;ModRM:r/m (r);;;;;REX.W0;D8;/0;;;Valid;Valid;8086;;FADD;FADD;NA;Add m32fp to ST(0) and store result in ST(0).;;
FADD;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;D8 C0+i;;;;Valid;Valid;8086;;FADD;FADD;NA;Add ST(0) to ST(i) and store result in ST(0).;;
FADD;m64fp;;;;ModRM:r/m (r);;;;;REX.W0;DC;/0;;;Valid;Valid;8086;;FADD;FADD;NA;Add m64fp to ST(0) and store result in ST(0).;;
FADD;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DC C0+i;;;;Valid;Valid;8086;;FADD;FADD;NA;Add ST(i) to ST(0) and store result in ST(i).;;
FADDP;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DE C0+i;;;;Valid;Valid;8086;;FADDP;FADD;NA;Add ST(0) to ST(i), store result in ST(i), and pop the register stack.;;
FADDP;;;;;;;;;;;DE C1;;;;Valid;Valid;8086;R;FADDP;FADD;NA;Add ST(0) to ST(1), store result in ST(1), and pop the register stack.;;
FBLD;m80bcd;;;;ModRM:r/m (r);;;;;REX.W0;DF;/4;;;Valid;Valid;8086;;FBLD;FBLD;NA;Convert BCD value to floating-point and push onto the FPU stack.;;
FBSTP;m80bcd;;;;ModRM:r/m (r);;;;;REX.W0;DF;/6;;;Valid;Valid;8086;;FBSTP;FBSTP;NA;Store ST(0) in m80bcd and pop ST(0).;;
FCHS;;;;;;;;;;;D9 E0;;;;Valid;Valid;8086;;FCHS;FCHS;NA;Complements sign of ST(0).;;
FCLEX;;;;;;;;;;;9B DB E2;;;;Valid;Valid;8086;;FCLEX;FCLEX;NA;Clear floating-point exception flags after checking for pending unmasked floating-point exceptions.;;
FCMOVB;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DA C0+i;;;;Valid;Valid;8086;;FCMOVB;FCMOV;NA;Move if below (CF=1).;;
FCMOVBE;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DA D0+i;;;;Valid;Valid;8086;;FCMOVBE;FCMOV;NA;Move if below or equal (CF=1 or ZF=1).;;
FCMOVE;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DA C8+i;;;;Valid;Valid;8086;;FCMOVE;FCMOV;NA;Move if equal (ZF=1).;;
FCMOVNB;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DB C0+i;;;;Valid;Valid;8086;;FCMOVNB;FCMOV;NA;Move if not below (CF=0).;;
FCMOVNBE;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DB D0+i;;;;Valid;Valid;8086;;FCMOVNBE;FCMOV;NA;Move if not below or equal;;
FCMOVNE;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DB C8+i;;;;Valid;Valid;8086;;FCMOVNE;FCMOV;NA;Move if not equal (ZF=0).;;
FCMOVNU;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DB D8+i;;;;Valid;Valid;8086;;FCMOVNU;FCMOV;NA;Move if not unordered (PF=0).;;
FCMOVU;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DA D8+i;;;;Valid;Valid;8086;;FCMOVU;FCMOV;NA;Move if unordered (PF=1).;;
FCOM;m32fp;;;;ModRM:r/m (r);;;;;REX.W0;D8;/2;;;Valid;Valid;8086;;FCOM;FCOM;NA;Compare ST(0) with m32fp.;;
FCOM;ST(i);;;;Opcode (r);;;;;;D8 D0+i;;;;Valid;Valid;8086;;FCOM;FCOM;NA;Compare ST(0) with ST(i).;;
FCOM;;;;;;;;;;;D8 D1;;;;Valid;Valid;8086;R;FCOM;FCOM;NA;Compare ST(0) with ST(1).;;
FCOM;m64fp;;;;ModRM:r/m (r);;;;;REX.W0;DC;/2;;;Valid;Valid;8086;;FCOM;FCOM;NA;Compare ST(0) with m64fp.;;
FCOMI;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DB F0+i;;;;Valid;Valid;8086;;FCOMI;FCOM;NA;Compare ST(0) with ST(i) and set status flags accordingly.;;
FCOMIP;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DF F0+i;;;;Valid;Valid;8086;;FCOMIP;FCOM;NA;Compare ST(0) with ST(i), set status flags accordingly, and pop register stack.;;
FCOMP;m32fp;;;;ModRM:r/m (r);;;;;REX.W0;D8;/3;;;Valid;Valid;8086;;FCOMP;FCOM;NA;Compare ST(0) with m32fp and pop register stack.;;
FCOMP;ST(i);;;;Opcode (r);;;;;;D8 D8+i;;;;Valid;Valid;8086;;FCOMP;FCOM;NA;Compare ST(0) with ST(i) and pop register stack.;;
FCOMP;;;;;;;;;;;D8 D9;;;;Valid;Valid;8086;R;FCOMP;FCOM;NA;Compare ST(0) with ST(1) and pop register stack.;;
FCOMP;m64fp;;;;ModRM:r/m (r);;;;;REX.W0;DC;/3;;;Valid;Valid;8086;;FCOMP;FCOM;NA;Compare ST(0) with m64fp and pop register stack.;;
FCOMPP;;;;;;;;;;;DE D9;;;;Valid;Valid;8086;;FCOMPP;FCOM;NA;Compare ST(0) with ST(1) and pop register stack twice.;;
FCOS;;;;;;;;;;;D9 FF;;;;Valid;Valid;8086;;FCOS;FCOS;NA;Replace ST(0) with its cosine.;;
FDECSTP;;;;;;;;;;;D9 F6;;;;Valid;Valid;8086;;FDECSTP;FDECSTP;NA;Decrement TOP field in FPU status word.;;
FDISI;;;;;;;;;;;9B DB E1;;;;Invalid;Invalid;8087;;FDISI;FDISI;NA;;;
FDIV;m32fp;;;;ModRM:r/m (r);;;;;REX.W0;D8;/6;;;Valid;Valid;8086;;FDIV;FDIV;NA;Divide ST(0) by m32fp and store result in ST(0).;;
FDIV;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;D8 F0+i;;;;Valid;Valid;8086;;FDIV;FDIV;NA;Divide ST(0) by ST(i) and store result in ST(0).;;
FDIV;m64fp;;;;ModRM:r/m (r);;;;;REX.W0;DC;/6;;;Valid;Valid;8086;;FDIV;FDIV;NA;Divide ST(0) by m64fp and store result in ST(0).;;
FDIV;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DC F8+i;;;;Valid;Valid;8086;;FDIV;FDIV;NA;Divide ST(i) by ST(0) and store result in ST(i).;;
FDIVP;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DE F8+i;;;;Valid;Valid;8086;;FDIVP;FDIV;NA;Divide ST(i) by ST(0), store result in ST(i), and pop the register stack.;;
FDIVP;;;;;;;;;;;DE F9;;;;Valid;Valid;8086;R;FDIVP;FDIV;NA;Divide ST(1) by ST(0), store result in ST(1), and pop the register stack.;;
FDIVR;m32fp;;;;ModRM:r/m (r);;;;;REX.W0;D8;/7;;;Valid;Valid;8086;;FDIVR;FDIV;NA;Divide m32fp by ST(0) and store result in ST(0).;;
FDIVR;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;D8 F8+i;;;;Valid;Valid;8086;;FDIVR;FDIV;NA;Divide ST(i) by ST(0) and store result in ST(0).;;
FDIVR;m64fp;;;;ModRM:r/m (r);;;;;REX.W0;DC;/7;;;Valid;Valid;8086;;FDIVR;FDIV;NA;Divide m64fp by ST(0) and store result in ST(0).;;
FDIVR;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DC F0+i;;;;Valid;Valid;8086;;FDIVR;FDIV;NA;Divide ST(0) by ST(i) and store result in ST(i).;;
FDIVRP;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DE F0+i;;;;Valid;Valid;8086;;FDIVRP;FDIV;NA;Divide ST(0) by ST(i), store result in ST(i), and pop the register stack.;;
FDIVRP;;;;;;;;;;;DE F1;;;;Valid;Valid;8086;R;FDIVRP;FDIV;NA;Divide ST(0) by ST(1), store result in ST(1), and pop the register stack.;;
FEMMS;;;;;;;;;;;0F 0E;;;;Valid;Valid;3DNow;;FEMMS;FEMMS;NA;;;
FENI;;;;;;;;;;;9B DB E0;;;;Invalid;Invalid;8087;;FENI;FENI;NA;;;
FFREE;ST(i);;;;Opcode;;;;;;DD C0+i;;;;Valid;Valid;8086;;FFREE;FFREE;NA;Sets tag for ST(i) to empty.;;
FIADD;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DA;/0;;;Valid;Valid;8086;;FIADD;FADD;NA;Add m32int to ST(0) and store result in ST(0).;;
FIADD;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DE;/0;;;Valid;Valid;8086;;FIADD;FADD;NA;Add m16int to ST(0) and store result in ST(0).;;
FICOM;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DA;/2;;;Valid;Valid;8086;;FICOM;CMP;NA;Compare ST(0) with m32int.;;
FICOM;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DE;/2;;;Valid;Valid;8086;;FICOM;CMP;NA;Compare ST(0) with m16int.;;
FICOMP;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DA;/3;;;Valid;Valid;8086;;FICOMP;CMP;NA;Compare ST(0) with m32int and pop stack register.;;
FICOMP;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DE;/3;;;Valid;Valid;8086;;FICOMP;CMP;NA;Compare ST(0) with m16int and pop stack register.;;
FIDIV;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DA;/6;;;Valid;Valid;8086;;FIDIV;FIDIV;NA;Divide ST(0) by m32int and store result in ST(0).;;
FIDIV;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DE;/6;;;Valid;Valid;8086;;FIDIV;FIDIV;NA;Divide ST(0) by m64int and store result in ST(0).;;
FIDIVR;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DA;/7;;;Valid;Valid;8086;;FIDIVR;FIDIV;NA;Divide m32int by ST(0) and store result in ST(0).;;
FIDIVR;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DE;/7;;;Valid;Valid;8086;;FIDIVR;FIDIV;NA;Divide m16int by ST(0) and store result in ST(0).;;
FILD;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DB;/0;;;Valid;Valid;8086;;FILD;FILD;NA;Push m32int onto the FPU register stack.;;
FILD;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DF;/0;;;Valid;Valid;8086;;FILD;FILD;NA;Push m16int onto the FPU register stack.;;
FILD;m64int;;;;ModRM:r/m (r);;;;;REX.W0;DF;/5;;;Valid;Valid;8086;;FILD;FILD;NA;Push m64int onto the FPU register stack.;;
FIMUL;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DA;/1;;;Valid;Valid;8086;;FIMUL;FMUL;NA;Multiply ST(0) by m32int and store result in ST(0).;;
FIMUL;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DE;/1;;;Valid;Valid;8086;;FIMUL;FMUL;NA;Multiply ST(0) by m16int and store result in ST(0).;;
FINCSTP;;;;;;;;;;;D9 F7;;;;Valid;Valid;8086;;FINCSTP;FINCSTP;NA;Increment the TOP field in the FPU status register.;;
FINIT;;;;;;;;;;;9B DB E3;;;;Valid;Valid;8086;;FINIT;FINIT;NA;Initialize FPU after checking for pending unmasked floating-point exceptions.;;
FIST;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DB;/2;;;Valid;Valid;8086;;FIST;FIST;NA;Store ST(0) in m32int.;;
FIST;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DF;/2;;;Valid;Valid;8086;;FIST;FIST;NA;Store ST(0) in m16int.;;
FISTP;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DB;/3;;;Valid;Valid;8086;;FISTP;FIST;NA;Store ST(0) in m32int and pop register stack.;;
FISTP;m64int;;;;ModRM:r/m (r);;;;;REX.W0;DF;/7;;;Valid;Valid;8086;;FISTP;FIST;NA;Store ST(0) in m64int and pop register stack.;;
FISTP;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DF;/3;;;Valid;Valid;8086;;FISTP;FIST;NA;Store ST(0) in m16int and pop register stack.;;
FISTTP;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DB;/1;;;Valid;Valid;8086;;FISTTP;FIST;NA;Store ST(0) in m32int with truncation.;;
FISTTP;m64int;;;;ModRM:r/m (r);;;;;REX.W0;DD;/1;;;Valid;Valid;8086;;FISTTP;FIST;NA;Store ST(0) in m64int with truncation.;;
FISTTP;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DF;/1;;;Valid;Valid;8086;;FISTTP;FIST;NA;Store ST(0) in m16int with truncation.;;
FISUB;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DA;/4;;;Valid;Valid;8086;;FISUB;FIST;NA;Subtract m32int from ST(0) and store result in ST(0).;;
FISUB;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DE;/4;;;Valid;Valid;8086;;FISUB;FSUB;NA;Subtract m16int from ST(0) and store result in ST(0).;;
FISUBR;m32int;;;;ModRM:r/m (r);;;;;REX.W0;DA;/5;;;Valid;Valid;8086;;FISUBR;FSUB;NA;Subtract ST(0) from m32int and store result in ST(0).;;
FISUBR;m16int;;;;ModRM:r/m (r);;;;;REX.W0;DE;/5;;;Valid;Valid;8086;;FISUBR;FSUB;NA;Subtract ST(0) from m16int and store result in ST(0).;;
FLD;m32fp;;;;ModRM:r/m (r);;;;;REX.W0;D9;/0;;;Valid;Valid;8086;;FLD;FLD;NA;Push m32fp onto the FPU register stack.;;
FLD;ST(i);;;;Opcode (r);;;;;;D9 C0+i;;;;Valid;Valid;8086;;FLD;FLD;NA;Push ST(i) onto the FPU register stack.;;
FLD;m80fp;;;;ModRM:r/m (r);;;;;REX.W0;DB;/5;;;Valid;Valid;8086;;FLD;FLD;NA;Push m80fp onto the FPU register stack.;;
FLD;m64fp;;;;ModRM:r/m (r);;;;;REX.W0;DD;/0;;;Valid;Valid;8086;;FLD;FLD;NA;Push m64fp onto the FPU register stack.;;
FLD1;;;;;;;;;;;D9 E8;;;;Valid;Valid;8086;;FLD1;FLD;NA;Push +1.0 onto the FPU register stack.;;
FLDCW;m2B;;;;ModRM:r/m (r);;;;;REX.W0;D9;/5;;;Valid;Valid;8086;;FLDCW;FLD;NA;Load FPU control word from m2byte.;;
FLDENV;m14B/m28B;;;;ModRM:r/m (r);;;;;REX.W0;D9;/4;;;Valid;Valid;8086;;FLDENV;FLD;NA;Load FPU environment from m14byte or m28byte.;;
FLDL2E;;;;;;;;;;;D9 EA;;;;Valid;Valid;8086;;FLDL2E;FLD;NA;Push log2e onto the FPU register stack.;;
FLDL2T;;;;;;;;;;;D9 E9;;;;Valid;Valid;8086;;FLDL2T;FLD;NA;Push log210 onto the FPU register stack.;;
FLDLG2;;;;;;;;;;;D9 EC;;;;Valid;Valid;8086;;FLDLG2;FLD;NA;Push log102 onto the FPU register stack.;;
FLDLN2;;;;;;;;;;;D9 ED;;;;Valid;Valid;8086;;FLDLN2;FLD;NA;Push loge2 onto the FPU register stack.;;
FLDPI;;;;;;;;;;;D9 EB;;;;Valid;Valid;8086;;FLDPI;FLD;NA;Push π onto the FPU register stack.;;
FLDZ;;;;;;;;;;;D9 EE;;;;Valid;Valid;8086;;FLDZ;FLD;NA;Push +0.0 onto the FPU register stack.;;
FMUL;m32fp;;;;ModRM:r/m (r);;;;;REX.W0;D8;/1;;;Valid;Valid;8086;;FMUL;FMUL;NA;Multiply ST(0) by m32fp and store result in ST(0).;;
FMUL;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;D8 C8+i;;;;Valid;Valid;8086;;FMUL;FMUL;NA;Multiply ST(0) by ST(i) and store result in ST(0).;;
FMUL;m64fp;;;;ModRM:r/m (r);;;;;REX.W0;DC;/1;;;Valid;Valid;8086;;FMUL;FMUL;NA;Multiply ST(0) by m64fp and store result in ST(0).;;
FMUL;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DC C8+i;;;;Valid;Valid;8086;;FMUL;FMUL;NA;Multiply ST(i) by ST(0) and store result in ST(i).;;
FMULP;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DE C8+i;;;;Valid;Valid;8086;;FMULP;FMUL;NA;Multiply ST(i) by ST(0), store result in ST(i), and pop the register stack.;;
FMULP;;;;;;;;;;;DE C9;;;;Valid;Valid;8086;R;FMULP;FMUL;NA;Multiply ST(1) by ST(0), store resultin ST(1), and pop the register stack.;;
FNCLEX;;;;;;;;;;;DB E2;;;;Valid;Valid;8086;;FNCLEX;FCLEX;NA;Clear floating-point exception flags without checking for pending unmasked floating-point exceptions.;See IA-32 Architecture Compatibility section below.;
FNDISI;;;;;;;;;;;DB E1;;;;Invalid;Invalid;8087;;FNDISI;FDISI;NA;;;
FNENI;;;;;;;;;;;DB E0;;;;Invalid;Invalid;8087;;FNENI;FENI;NA;;;
FNINIT;;;;;;;;;;;DB E3;;;;Valid;Valid;8086;;FNINIT;FINIT;NA;Initialize FPU without checking for pending unmasked floating-point exceptions.;* See IA-32 Architecture Compatibility section below.;
FNOP;;;;;;;;;;;D9 D0;;;;Valid;Valid;8086;;FNOP;FNOP;NA;No operation is performed.;;
FNSAVE;m94B/m108B;;;;ModRM:r/m (w);;;;;REX.W0;DD;/6;;;Valid;Valid;8086;;FNSAVE;FSAVE;NA;Store FPU environment to m94byte or m108byte without checking for pending unmasked floating-point exceptions. Then re-initialize the FPU.;* See IA-32 Architecture Compatibility section below.;
FNSTCW;m2B;;;;ModRM:r/m (w);;;;;REX.W0;D9;/7;;;Valid;Valid;8086;;FNSTCW;FST;NA;Store FPU control word to m2byte without checking for pending unmasked floating-point exceptions.;* See IA-32 Architecture Compatibility section below.;
FNSTENV;m14B/m28B;;;;ModRM:r/m (w);;;;;REX.W0;D9;/6;;;Valid;Valid;8086;;FNSTENV;FST;NA;Store FPU environment to m14byte or m28byte without checking for pending unmasked floating-point exceptions. Then mask all floating-point exceptions.;* See IA-32 Architecture Compatibility section below.;
FNSTSW;m2B;;;;ModRM:r/m (w);;;;;REX.W0;DD;/7;;;Valid;Valid;8086;;FNSTSW;FST;NA;Store FPU status word at m2byte without checking for pending unmasked floating-point exceptions.;* See IA-32 Architecture Compatibility section below.;
FNSTSW;r16=AX;;;;;;;;;;DF E0;;;;Valid;Valid;8086;;FNSTSW;FST;NA;Store FPU status word in AX register without checking for pending unmasked floating-point exceptions.;* See IA-32 Architecture Compatibility section below.;
FPATAN;;;;;;;;;;;D9 F3;;;;Valid;Valid;8086;;FPATAN;FPATAN;NA;Replace ST(1) with arctan(ST(1)/ST(0)) and pop the register stack.;* See IA-32 Architecture Compatibility section below.;
FPREM;;;;;;;;;;;D9 F8;;;;Valid;Valid;8086;;FPREM;FPREM;NA;Replace ST(0) with the remainder obtained from dividing ST(0) by ST(1).;;
FPREM1;;;;;;;;;;;D9 F5;;;;Valid;Valid;8086;;FPREM1;FRPEM;NA;Replace ST(0) with the IEEE remainder obtained from dividing ST(0) by ST(1).;;
FPTAN;;;;;;;;;;;D9 F2;;;;Valid;Valid;8086;;FPTAN;FPTAN;NA;Replace ST(0) with its tangent and push 1 onto the FPU stack.;;
FRNDINT;;;;;;;;;;;D9 FC;;;;Valid;Valid;8086;;FRNDINT;FDNDINT;NA;Round ST(0) to an integer.;;
FRSTOR;m94B/m108B;;;;ModRM:r/m (r);;;;;REX.W0;DD;/4;;;Valid;Valid;8086;;FRSTOR;FSTOR;NA;Load FPU state from m94byte or m108byte.;;
FSAVE;m94B/m108B;;;;ModRM:r/m (w);;;;;REX.W0;9B DD;/6;;;Valid;Valid;8086;;FSAVE;FSAVE;NA;Store FPU state to m94byte or m108byte after checking for pending unmasked floating- point exceptions. Then re-initialize the FPU.;;
FSCALE;;;;;;;;;;;D9 FD;;;;Valid;Valid;8086;;FSCALE;FSCALE;NA;Scale ST(0) by ST(1).;;
FSIN;;;;;;;;;;;D9 FE;;;;Valid;Valid;8086;;FSIN;FSIN;NA;Replace ST(0) with its sine.;;
FSINCOS;;;;;;;;;;;D9 FB;;;;Valid;Valid;8086;;FSINCOS;FSINCOS;NA;Compute the sine and cosine of ST(0) replace ST(0) with the sine, and push the cosine onto the register stack.;;
FSQRT;;;;;;;;;;;D9 FA;;;;Valid;Valid;8086;;FSQRT;FSQRT;NA;Computes square root of ST(0) and stores the result in ST(0).;;
FST;m32fp;;;;ModRM:r/m (w);;;;;REX.W0;D9;/2;;;Valid;Valid;8086;;FST;FST;NA;Copy ST(0) to m32fp.;;
FST;m64fp;;;;ModRM:r/m (w);;;;;REX.W0;DD;/2;;;Valid;Valid;8086;;FST;FST;NA;Copy ST(0) to m64fp.;;
FST;ST(i);;;;Opcode (w);;;;;;DD D0+i;;;;Valid;Valid;8086;;FST;FST;NA;Copy ST(0) to ST(i).;;
FSTCW;m2B;;;;ModRM:r/m (w);;;;;REX.W0;9B D9;/7;;;Valid;Valid;8086;;FSTCW;FST;NA;Store FPU control word to m2byte after checking for pending unmasked floating-point exceptions.;;
FSTENV;m14B/m28B;;;;ModRM:r/m (w);;;;;REX.W0;9B D9;/6;;;Valid;Valid;8086;;FSTENV;FST;NA;Store FPU environment to m14byte or m28byte after checking for pending unmasked floating-point exceptions. Then mask all floating-point exceptions.;;
FSTP;m32fp;;;;ModRM:r/m (w);;;;;REX.W0;D9;/3;;;Valid;Valid;8086;;FSTP;FST;NA;Copy ST(0) to m32fp and pop register stack.;;
FSTP;m80fp;;;;ModRM:r/m (w);;;;;REX.W0;DB;/7;;;Valid;Valid;8086;;FSTP;FST;NA;Copy ST(0) to m80fp and pop register stack.;;
FSTP;m64fp;;;;ModRM:r/m (w);;;;;REX.W0;DD;/3;;;Valid;Valid;8086;;FSTP;FST;NA;Copy ST(0) to m64fp and pop register stack.;;
FSTP;ST(i);;;;Opcode (w);;;;;;DD D8+i;;;;Valid;Valid;8086;;FSTP;FST;NA;Copy ST(0) to ST(i) and pop register stack.;;
FSTSW;m2B;;;;ModRM:r/m (w);;;;;REX.W0;9B DD;/7;;;Valid;Valid;8086;;FSTSW;FST;NA;Store FPU status word at m2byte after checking for pending unmasked floating-point exceptions.;;
FSTSW;r16=AX;;;;;;;;;;9B DF E0;;;;Valid;Valid;8086;;FSTSW;FST;NA;Store FPU status word in AX register after checking for pending unmasked floating-point exceptions.;;
FSUB;m32fp;;;;ModRM:r/m (r);;;;;REX.W0;D8;/4;;;Valid;Valid;8086;;FSUB;FSUB;NA;Subtract m32fp from ST(0) and store result in ST(0).;;
FSUB;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;D8 E0+i;;;;Valid;Valid;8086;;FSUB;FSUB;NA;Subtract ST(i) from ST(0) and store result in ST(0).;;
FSUB;m64fp;;;;ModRM:r/m (r);;;;;REX.W0;DC;/4;;;Valid;Valid;8086;;FSUB;FSUB;NA;Subtract m64fp from ST(0) and store result in ST(0).;;
FSUB;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DC E8+i;;;;Valid;Valid;8086;;FSUB;FSUB;NA;Subtract ST(0) from ST(i) and store result in ST(i).;;
FSUBP;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DE E8+i;;;;Valid;Valid;8086;;FSUBP;FSUB;NA;Subtract ST(0) from ST(i), store result in ST(i), and pop register stack.;;
FSUBP;;;;;;;;;;;DE E9;;;;Valid;Valid;8086;R;FSUBP;FSUB;NA;Subtract ST(0) from ST(1), store result in ST(1), and pop register stack.;;
FSUBR;m32fp;;;;ModRM:r/m (r);;;;;REX.W0;D8;/5;;;Valid;Valid;8086;;FSUBR;FSUB;NA;Subtract ST(0) from m32fp and store result in ST(0).;;
FSUBR;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;D8 E8+i;;;;Valid;Valid;8086;;FSUBR;FSUB;NA;Subtract ST(0) from ST(i) and store result in ST(0).;;
FSUBR;m64fp;;;;ModRM:r/m (r);;;;;REX.W0;DC;/5;;;Valid;Valid;8086;;FSUBR;FSUB;NA;Subtract ST(0) from m64fp and store result in ST(0).;;
FSUBR;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DC E0+i;;;;Valid;Valid;8086;;FSUBR;FSUB;NA;Subtract ST(i) from ST(0) and store result in ST(i).;;
FSUBRP;ST(i)=ST(0);ST(i);;;;Opcode (r, w);;;;;DE E0+i;;;;Valid;Valid;8086;;FSUBRP;FSUB;NA;Subtract ST(i) from ST(0), store result in ST(i), and pop register stack.;;
FSUBRP;;;;;;;;;;;DE E1;;;;Valid;Valid;8086;R;FSUBRP;FSUB;NA;Subtract ST(1) from ST(0), store result in ST(1), and pop register stack.;;
FTST;;;;;;;;;;;D9 E4;;;;Valid;Valid;8086;;FTST;FTST;NA;Compare ST(0) with 0.0.;;
FUCOM;ST(i);;;;Opcode (r);;;;;;DD E0+i;;;;Valid;Valid;8086;;FUCOM;UCMP;NA;Compare ST(0) with ST(i).;;
FUCOM;;;;;;;;;;;DD E1;;;;Valid;Valid;8086;R;FUCOM;UCMP;NA;Compare ST(0) with ST(1).;;
FUCOMI;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DB E8+i;;;;Valid;Valid;8086;;FUCOMI;UCMP;NA;Compare ST(0) with ST(i), check for ordered values, and set status flags accordingly.;;
FUCOMIP;ST(i);ST(i)=ST(0);;;Opcode (r);;;;;;DF E8+i;;;;Valid;Valid;8086;;FUCOMIP;UCMP;NA;Compare ST(0) with ST(i), check for ordered values, set status flags accordingly, and pop register stack.;;
FUCOMP;ST(i);;;;Opcode (r);;;;;;DD E8+i;;;;Valid;Valid;8086;;FUCOMP;UCMP;NA;Compare ST(0) with ST(i) and pop register stack.;;
FUCOMP;;;;;;;;;;;DD E9;;;;Valid;Valid;8086;R;FUCOMP;UCMP;NA;Compare ST(0) with ST(1) and pop register stack.;;
FUCOMPP;;;;;;;;;;;DA E9;;;;Valid;Valid;8086;;FUCOMPP;UCMP;NA;Compare ST(0) with ST(1) and pop register stack twice.;;
FWAIT;;;;;;;;;;;9B;;;;Valid;Valid;8086;;FWAIT;WAIT;NA;Check pending unmasked floating-point exceptions.;;
FXAM;;;;;;;;;;;D9 E5;;;;Valid;Valid;8086;;FXAM;FXAM;NA;Classify value or number in ST(0).;;
FXCH;ST(i);;;;Opcode (r, w);;;;;;D9 C8+i;;;;Valid;Valid;8086;;FXCH;FXCH;NA;Exchange the contents of ST(0) and ST(i).;;
FXCH;;;;;;;;;;;D9 C9;;;;Valid;Valid;8086;R;FXCH;FXCH;NA;Exchange the contents of ST(0) and ST(1).;;
FXRSTOR;m512B;;;;ModRM:r/m (r);;;;;;0F AE;/1;;;Valid;Valid;8086;;FXRSTOR;FRSTOR;NA;Restore the x87 FPU, MMX, XMM, and MXCSR register state from m512byte.;;
FXSAVE;m512B;;;;ModRM:r/m (w);;;;;;0F AE;/0;;;Valid;Valid;8086;;FXSAVE;FXSAVE;NA;Save the x87 FPU, MMX, XMM, and MXCSR register state to m512byte.;;
